Ouverture;Base;Lumiere
Bourges;Rocamadour;La Ferté-Alais
Bourges;Rocamadour;Loches
Bourges;Saint-Amour;Jumièges
Bourges;Saint-Amour;Grotte de Lombrives
Bourges;Le Goulet;Pic du Midi
Bourges;Le Goulet;Beaugency
Bourges;Pont de Noirmoutier;Pertuis d'Antioche
Bourges;Pont de Noirmoutier;Mirebeau
Bourges;Rocamadour;Lac-de-Trémelin
Bourges;Rocamadour;St Julien de Mailloc
Bourges;Reims;Villefrancœur
Bourges;Reims;Thury-sous-Clermont
Bourges;Gergovie;Rumigny
Bourges;Gergovie;Solesmes
Bourges;Carignan;Bâle
Bourges;Carignan;Boulogne-sur-Mer
Bourges;Bouvines;Paris
Bourges;Bouvines;Waterloo
Bourges;Île-d'Aix;Mayence
Bourges;Île-d'Aix;Pevensey
Bourges;Aléria;Massif des Maures
Bourges;Aléria;Sainte-Mère-Église
Bourges;Île-d'Aix;3RDV
Bourges;Île-d'Aix;Vézelay
Bourges;Metz;Brétigny
Bourges;Metz;Troyes
Bourges;Château-Gaillard;Montereau
Bourges;Château-Gaillard;Guérande
Bourges;Coetquidan;Chinon
Bourges;Coetquidan;Rouen
Bourges;Coetquidan;Compiègne
Bourges;Domrémy;Puy de Dôme
Bourges;Domrémy;Donon
Bourges;Domrémy;Rouen
Bourges;Domrémy;Beaurevoir